Linux 5.4.58 (oslab) 	2021년 06월 03일 	_x86_64_	(10 CPU)

19시 23분 58초   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
19시 25분 38초     0      2158   11.23   38.72    0.00   50.04   49.95     2  netperf
19시 25분 38초     0      2208   11.48   38.29    0.00   50.22   49.77     4  netperf
19시 25분 38초     0      2212   11.06   38.69    0.00   50.24   49.75     8  netperf
19시 25분 38초     0      2251   11.96   37.64    0.00   50.40   49.60     2  netperf
19시 25분 38초     0      2270   12.63   37.68    0.00   49.68   50.31     0  netperf
19시 25분 38초     0      2362   10.89   39.12    0.00   49.99   50.01     3  netperf
19시 25분 38초     0      2375   11.63   38.50    0.00   49.87   50.13     9  netperf
19시 25분 38초     0      2421   11.69   37.74    0.00   50.55   49.43     5  netperf
19시 25분 38초     0      2422   11.37   38.38    0.00   50.25   49.75     1  netperf
19시 25분 38초     0      2439   11.17   38.79    0.00   50.03   49.96     4  netperf
19시 25분 38초     0      2444   11.38   38.69    0.00   49.92   50.07     1  netperf
19시 25분 38초     0      2454   11.01   38.41    0.00   50.56   49.42     3  netperf
19시 25분 38초     0      2455   10.72   38.89    0.00   50.36   49.61     5  netperf
19시 25분 38초     0      2525   10.97   38.56    0.00   50.47   49.53     9  netperf
19시 25분 38초     0      2527   10.73   39.65    0.00   49.63   50.38     8  netperf
19시 25분 38초     0      2542   11.45   38.22    0.00   50.33   49.67     0  netperf
19시 25분 38초     0      2560   11.58   38.39    0.00   50.05   49.97     6  netperf
19시 25분 38초     0      2578   11.47   37.96    0.00   50.57   49.43     6  netperf
19시 25분 38초     0      2595   11.95   37.59    0.00   50.45   49.54     5  netperf
19시 25분 38초     0      2614   11.24   38.75    0.00   50.03   49.99     7  netperf

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0      2158   11.23   38.72    0.00   50.04   49.95     -  netperf
Average:        0      2208   11.48   38.29    0.00   50.22   49.77     -  netperf
Average:        0      2212   11.06   38.69    0.00   50.24   49.75     -  netperf
Average:        0      2251   11.96   37.64    0.00   50.40   49.60     -  netperf
Average:        0      2270   12.63   37.68    0.00   49.68   50.31     -  netperf
Average:        0      2362   10.89   39.12    0.00   49.99   50.01     -  netperf
Average:        0      2375   11.63   38.50    0.00   49.87   50.13     -  netperf
Average:        0      2421   11.69   37.74    0.00   50.55   49.43     -  netperf
Average:        0      2422   11.37   38.38    0.00   50.25   49.75     -  netperf
Average:        0      2439   11.17   38.79    0.00   50.03   49.96     -  netperf
Average:        0      2444   11.38   38.69    0.00   49.92   50.07     -  netperf
Average:        0      2454   11.01   38.41    0.00   50.56   49.42     -  netperf
Average:        0      2455   10.72   38.89    0.00   50.36   49.61     -  netperf
Average:        0      2525   10.97   38.56    0.00   50.47   49.53     -  netperf
Average:        0      2527   10.73   39.65    0.00   49.63   50.38     -  netperf
Average:        0      2542   11.45   38.22    0.00   50.33   49.67     -  netperf
Average:        0      2560   11.58   38.39    0.00   50.05   49.97     -  netperf
Average:        0      2578   11.47   37.96    0.00   50.57   49.43     -  netperf
Average:        0      2595   11.95   37.59    0.00   50.45   49.54     -  netperf
Average:        0      2614   11.24   38.75    0.00   50.03   49.99     -  netperf
