Linux 5.4.58 (oslab) 	2021년 06월 03일 	_x86_64_	(10 CPU)

17시 33분 22초   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
17시 35분 02초     0     23385   11.64   38.12    0.00   50.23   49.76     5  netperf
17시 35분 02초     0     23411   11.66   38.29    0.00   50.04   49.95     6  netperf
17시 35분 02초     0     23431   11.46   38.35    0.00   50.18   49.81     5  netperf
17시 35분 02초     0     23433   11.99   38.23    0.00   49.79   50.22     2  netperf
17시 35분 02초     0     23459   13.39   36.56    0.00   50.05   49.95     1  netperf
17시 35분 02초     0     23521   13.97   36.01    0.00   50.02   49.98     3  netperf
17시 35분 02초     0     23523   10.61   39.31    0.00   50.08   49.92     0  netperf
17시 35분 02초     0     23526   13.25   36.71    0.00   50.04   49.96     1  netperf
17시 35분 02초     0     23543   13.49   36.41    0.00   50.11   49.90     7  netperf
17시 35분 02초     0     23556   13.47   36.75    0.00   49.76   50.22     3  netperf
17시 35분 02초     0     23567   12.44   37.41    0.00   50.14   49.85     8  netperf
17시 35분 02초     0     23568   11.69   38.10    0.00   50.21   49.79     2  netperf
17시 35분 02초     0     23583   12.02   37.94    0.00   50.04   49.96     9  netperf
17시 35분 02초     0     23592   13.52   36.46    0.00   50.03   49.98     4  netperf
17시 35분 02초     0     23593    8.93   40.96    0.00   50.11   49.89     6  netperf
17시 35분 02초     0     23602   13.22   36.77    0.00   50.01   49.99     7  netperf
17시 35분 02초     0     23620   13.62   36.39    0.00   49.98   50.01     4  netperf
17시 35분 02초     0     23629   12.99   36.98    0.00   50.04   49.97     9  netperf
17시 35분 02초     0     23639   13.58   36.37    0.00   50.06   49.95     0  netperf
17시 35분 02초     0     23647   13.03   36.50    0.00   50.44   49.53     8  netperf

Average:      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     23385   11.64   38.12    0.00   50.23   49.76     -  netperf
Average:        0     23411   11.66   38.29    0.00   50.04   49.95     -  netperf
Average:        0     23431   11.46   38.35    0.00   50.18   49.81     -  netperf
Average:        0     23433   11.99   38.23    0.00   49.79   50.22     -  netperf
Average:        0     23459   13.39   36.56    0.00   50.05   49.95     -  netperf
Average:        0     23521   13.97   36.01    0.00   50.02   49.98     -  netperf
Average:        0     23523   10.61   39.31    0.00   50.08   49.92     -  netperf
Average:        0     23526   13.25   36.71    0.00   50.04   49.96     -  netperf
Average:        0     23543   13.49   36.41    0.00   50.11   49.90     -  netperf
Average:        0     23556   13.47   36.75    0.00   49.76   50.22     -  netperf
Average:        0     23567   12.44   37.41    0.00   50.14   49.85     -  netperf
Average:        0     23568   11.69   38.10    0.00   50.21   49.79     -  netperf
Average:        0     23583   12.02   37.94    0.00   50.04   49.96     -  netperf
Average:        0     23592   13.52   36.46    0.00   50.03   49.98     -  netperf
Average:        0     23593    8.93   40.96    0.00   50.11   49.89     -  netperf
Average:        0     23602   13.22   36.77    0.00   50.01   49.99     -  netperf
Average:        0     23620   13.62   36.39    0.00   49.98   50.01     -  netperf
Average:        0     23629   12.99   36.98    0.00   50.04   49.97     -  netperf
Average:        0     23639   13.58   36.37    0.00   50.06   49.95     -  netperf
Average:        0     23647   13.03   36.50    0.00   50.44   49.53     -  netperf
